time,open,high,low,close
1345500000,147.16999999999985,148.81999999999985,147.02999999999986,148.04999999999984
1345586400,147.90999999999985,148.50999999999985,147.22999999999985,148.25999999999985
1345672800,148.26999999999984,149.25999999999985,146.71999999999986,147.00999999999985
1345759200,147.02999999999986,148.13999999999984,146.37999999999985,147.08999999999986
1346018400,147.63999999999984,148.68999999999986,145.37999999999985,146.65999999999985
1346104800,146.62999999999985,147.50999999999985,146.10999999999984,147.10999999999984
1346191200,147.04999999999984,147.33999999999986,145.72999999999985,146.14999999999986
1346277600,146.26999999999984,146.56999999999985,144.91999999999985,145.73999999999984
1346364000,145.71999999999986,147.88999999999984,145.47999999999985,147.52999999999986
1346623200,147.34999999999985,148.33999999999986,145.93999999999986,146.59999999999985
1346796000,146.57999999999984,146.99999999999986,145.22999999999985,146.98999999999984
1346882400,146.96999999999986,148.67999999999984,145.55999999999986,145.74999999999986
1346968800,145.66999999999985,147.70999999999984,145.04999999999984,147.25999999999985
1347228000,147.20999999999984,147.59999999999985,146.30999999999986,147.26999999999984
1347314400,147.25999999999985,148.27999999999986,147.04999999999984,147.91999999999985
1347400800,147.81999999999985,149.02999999999986,147.27999999999986,147.85999999999984
1347487200,147.89999999999986,149.54999999999984,147.47999999999985,149.05999999999986
1347573600,149.00999999999985,151.38999999999984,148.95999999999984,150.02999999999986
1347832800,150.11999999999986,150.48999999999984,145.61999999999986,147.61999999999986
1347919200,147.62999999999985,148.19999999999985,146.06999999999985,146.47999999999985
1348005600,146.47999999999985,147.14999999999986,142.19999999999985,142.67999999999986
1348092000,142.71999999999986,143.73999999999987,141.60999999999984,143.60999999999984
1348178400,143.57999999999987,144.48999999999987,143.23999999999987,143.60999999999984
1348437600,143.82999999999987,143.82999999999987,141.70999999999987,142.71999999999986
1348524000,142.75999999999985,143.84999999999985,141.21999999999986,141.48999999999987
1348610400,141.46999999999986,141.98999999999987,139.59999999999985,140.71999999999986
1348696800,140.72999999999985,143.03999999999985,140.52999999999986,142.91999999999985
1348783200,142.99999999999986,143.35999999999984,142.04999999999987,142.74999999999986
1349042400,142.79999999999987,143.97999999999985,141.90999999999985,143.02999999999986
1349128800,143.05999999999986,143.58999999999986,142.26999999999987,142.27999999999986
1349215200,142.28999999999985,142.46999999999986,138.34999999999985,138.67999999999986
1349301600,138.65999999999985,142.48999999999987,138.55999999999986,142.15999999999985
1349388000,142.15999999999985,142.35999999999984,139.65999999999985,140.56999999999985
1349647200,140.49999999999986,140.53999999999985,138.85999999999984,140.36999999999986
1349733600,140.26999999999987,143.55999999999986,139.93999999999986,142.90999999999985
1349820000,142.90999999999985,144.30999999999986,141.66999999999985,141.99999999999986
1349906400,141.91999999999985,143.58999999999986,141.73999999999987,143.11999999999986
1349992800,143.05999999999986,143.28999999999985,141.80999999999986,142.28999999999985
1350252000,142.27999999999986,142.84999999999985,140.43999999999986,142.39999999999986
1350338400,142.40999999999985,142.96999999999986,141.94999999999985,142.60999999999984
1350424800,142.72999999999985,143.49999999999986,142.19999999999985,142.67999999999986
1350511200,142.69999999999987,143.20999999999987,141.33999999999986,142.69999999999987
1350597600,142.69999999999987,143.70999999999987,140.40999999999985,140.81999999999985
1350856800,140.26999999999987,141.48999999999987,138.78999999999985,139.36999999999986
1350943200,139.35999999999987,139.50999999999988,135.90999999999985,136.67999999999986
1351029600,136.81999999999985,137.68999999999986,135.15999999999985,135.86999999999986
1351116000,135.86999999999986,136.96999999999986,135.44999999999987,136.26999999999987
